name,slug
"Representative Becerra, Xavier",xavier-becerra/B000287
"Representative Bedell, Berkley W.",berkley-bedell/B000298
"Senator Begich, Mark",mark-begich/B001265
"Representative Beilenson, Anthony C.",anthony-beilenson/B000318
"Representative Bell, Alphonzo",alphonzo-bell/B000330
"Representative Bell, Chris",chris-bell/B001241
"Senator Bellmon, Henry L.",henry-bellmon/B000351
"Representative Benedict, Cleve",cleve-benedict/B000358
"Representative Benishek, Dan",dan-benishek/B001271
"Representative Benitez, Jamie",jamie-benitez/B000362
"Representative Benjamin, Adam, Jr.",adam-benjamin/B000363
"Senator Bennet, Michael F.",michael-bennet/B001267
"Representative Bennett, Charles E.",charles-bennett/B000371
"Senator Bennett, Robert F.",robert-bennett/B000382
"Senator Bennett, Wallace F.",wallace-bennett/B000384
"Representative Bentivolio, Kerry L.",kerry-bentivolio/B001280
"Representative Bentley, Helen Delich",helen-bentley/B000392
"Representative Bentsen, Ken",ken-bentsen/B000400
"Senator Bentsen, Lloyd M.",lloyd-bentsen/B000401
"Representative Bera, Ami",ami-bera/B001287
"Representative Bereuter, Doug",douglas-bereuter/B000403
"Representative Berg, Rick",rick-berg/B001272
"Representative Bergland, Bob",robert-bergland/B000408
"Representative Bergman, Jack",jack-bergman/B001301
"Representative Berkley, Shelley",shelley-berkley/B001231
"Representative Berman, Howard L.",howard-berman/B000410
"Representative Berry, Marion",marion-berry/B000420
"Representative Bethune, Ed",edwin-bethune/B000422
"Representative Bevill, Tom",tom-bevill/B000431
"Representative Beyer, Donald S., Jr.",donald-beyer/B001292
"Representative Biaggi, Mario",mario-biaggi/B000432
"Senator Bible, Alan",alan-bible/B000436
"Senator Biden, Joseph R., Jr.",joseph-biden/B000444
"Representative Biester, Edward G., Jr.",edward-biester/B000451
"Representative Biggert, Judy",judy-biggert/B001232
"Representative Biggs, Andy",andy-biggs/B001302
"Representative Bilbray, Brian P.",brian-bilbray/B000461
"Representative Bilbray, James H.",james-bilbray/B000462
"Representative Bilirakis, Gus M.",gus-bilirakis/B001257
"Representative Bilirakis, Michael",michael-bilirakis/B000463
"Senator Bingaman, Jeff",jesse-bingaman/B000468
"Representative Bingham, Jonathan B.",jonathan-bingham/B000472
"Representative Bishop, Mike",mike-bishop/B001293
"Representative Bishop, Rob",rob-bishop/B001250
"Representative Bishop, Sanford D., Jr.",sanford-bishop/B000490
"Representative Bishop, Timothy H.",timothy-bishop/B001242
"Representative Black, Diane",diane-black/B001273
"Representative Blackburn, Ben",ben-blackburn/B000506
"Senator Blackburn, Marsha",marsha-blackburn/B001243
"Representative Blackwell, Lucien E.",lucien-blackwell/B000517
"Representative Blagojevich, Rod R.",rod-blagojevich/B000518
"Representative Blanchard, James",james-blanchard/B000538
"Representative Blatnik, John Anton",john-blatnik/B000550
"Representative Blaz, Ben G.",ben-blaz/B000551
"Representative Bliley, Tom",thomas-bliley/B000556
"Representative Blouin, Michael",michael-blouin/B000567
"Representative Blum, Rod",rod-blum/B001294
"Representative Blumenauer, Earl",earl-blumenauer/B000574
"Senator Blumenthal, Richard",richard-blumenthal/B001277
"Representative Blunt Rochester, Lisa",lisa-blunt-rochester/B001303
"Senator Blunt, Roy",roy-blunt/B000575
"Representative Blute, Peter I.",peter-blute/B000576
"Representative Boccieri, John A.",john-boccieri/B001263
"Representative Boehlert, Sherwood",sherwood-boehlert/B000586
"Representative Boehner, John A.",john-boehner/B000589
"Representative Boggs, Corinne C. (Lindy)",corinne-boggs/B000592
"Representative Boland, Edward P.",edward-boland/B000600
"Representative Bolling, Richard",richard-bolling/B000605
"Representative Bonamici, Suzanne",suzanne-bonamici/B001278
"Senator Bond, Christopher S.",christopher-bond/B000611
"Representative Boner, William H.",william-boner/B000615
"Representative Bonilla, Henry",henry-bonilla/B000617
"Representative Bonior, David E.",david-bonior/B000619
"Representative Bonker, Don",don-bonker/B000620
"Representative Bonner, Jo",jo-bonner/B001244
"Representative Bono Mack, Mary",mary-bono-mack/B001228
"Representative Bono, Sonny",sonny-bono/B000622
"Senator Booker, Cory A.",cory-booker/B001288
"Senator Boozman, John",john-boozman/B001236
"Representative Bordallo, Madeleine Z.",madeleine-bordallo/B001245
"Representative Boren, Dan",dan-boren/B001254
"Senator Boren, David L.",david-boren/B000639
"Representative Borski, Robert A.",robert-borski/B000644
"Senator Boschwitz, Rudy",rudolf-boschwitz/B000647
"Representative Bosco, Douglas H.",douglas-bosco/B000648
"Representative Bost, Mike",mike-bost/B001295
"Representative Boswell, Leonard L.",leonard-boswell/B000652
"Representative Boucher, Rick",rick-boucher/B000657
"Representative Boulter, Beau",e-boulter/B000666
"Representative Boustany, Charles W., Jr.",charles-boustany/B001255
"Representative Bowen, David R.",david-bowen/B000682
"Senator Boxer, Barbara",barbara-boxer/B000711
"Representative Boyd, Allen",allen-boyd/B000716
"Representative Boyda, Nancy E.",nancy-boyda/B001258
"Representative Boyle, Brendan F.",brendan-boyle/B001296
