name,slug,name_scraped,birth_year_scraped,party_scraped,current_scraped,bill_count_scraped
"Representative Bridenstine, Jim",jim-bridenstine/B001283,Jim Bridenstine,1975,Republican,not current,544
"Representative Bright, Bobby",bobby-bright/B001264,Bobby Bright,1952,Democratic,not current,195
"Representative Brindisi, Anthony",anthony-brindisi/B001308,Anthony Brindisi,1978,Democratic,current,412
"Representative Brinkley, Jack",jack-brinkley/B000839,Jack Brinkley,1930,Democratic,not current,687
"Representative Britt, Robin",robin-britt/B000845,Robin Britt,1942,Democratic,not current,368
"Senator Brock, Bill",william-brock/B000851,Bill Brock,1930,Republican,not current,477
"Representative Brodhead, William",william-brodhead/B000862,William Brodhead,1941,Democratic,not current,"1,344"
"Senator Brooke, Edward W.",edward-brooke/B000871,Edward W. Brooke,1919,Republican,not current,624
"Representative Brooks, Jack B.",jack-brooks/B000880,Jack B. Brooks,1922,Democratic,not current,"1,386"
"Representative Brooks, Mo",mo-brooks/B001274,Mo Brooks,1954,Republican,current,"1,186"
"Representative Brooks, Susan W.",susan-brooks/B001284,Susan W. Brooks,1960,Republican,current,"1,035"
"Representative Broomfield, William S.",william-broomfield/B000890,William S. Broomfield,1922,Republican,not current,"2,092"
"Representative Brotzman, Donald G.",donald-brotzman/B000893,Donald G. Brotzman,1922,Republican,not current,104
"Representative Broun, Paul C.",paul-broun/B001262,Paul C. Broun,1946,Republican,not current,"1,365"
"Representative Browder, Glen",glen-browder/B000897,Glen Browder,1943,Democratic,not current,671
"Representative Brown, Anthony G.",anthony-brown/B001304,Anthony G. Brown,1961,Democratic,current,990
"Representative Brown, Clarence, Jr.",clarence-brown/B000910,Clarence Brown Jr.,1927,Republican,not current,783
"Representative Brown, Corrine",corrine-brown/B000911,Corrine Brown,1946,Democratic,not current,"4,860"
"Representative Brown, Garry E.",garry-brown/B000917,Garry E. Brown,1923,Republican,not current,330
"Representative Brown, George E., Jr.",george-brown/B000918,"George E. Brown, Jr.",1920,Democratic,not current,"5,628"
"Senator Brown, Hank",george-brown/B000919,Hank Brown,1940,Republican,not current,"2,515"
"Representative Brown, Henry E., Jr.",henry-brown/B001235,"Henry E. Brown, Jr.",1935,Republican,not current,"1,490"
"Senator Brown, Scott P.",scott-brown/B001268,Scott P. Brown,1959,Republican,not current,540
"Senator Brown, Sherrod",sherrod-brown/B000944,Sherrod Brown,1952,Democratic,current,"8,121"
"Representative Brown-Waite, Ginny",ginny-brown-waite/B001247,Ginny Brown-Waite,1943,Republican,not current,"1,421"
"Senator Brownback, Sam",sam-brownback/B000953,Sam Brownback,1956,Republican,not current,"2,662"
"Representative Brownley, Julia",julia-brownley/B001285,Julia Brownley,1952,Democratic,current,"2,300"
"Senator Broyhill, James T.",james-broyhill/B000966,James T. Broyhill,1927,Republican,not current,"1,260"
"Representative Broyhill, Joel T.",joel-broyhill/B000967,Joel T. Broyhill,1919,Republican,not current,250
"Representative Bruce, Terry L.",terry-bruce/B000971,Terry L. Bruce,1944,Democratic,not current,"1,143"
"Senator Bryan, Richard H.",richard-bryan/B000993,Richard H. Bryan,1937,Democratic,not current,"1,832"
"Representative Bryant, Ed",ed-bryant/B000996,Ed Bryant,1948,Republican,not current,700
"Representative Bryant, John W.",john-bryant/B000997,John W. Bryant,1947,Democratic,not current,"2,629"
"Representative Buchanan, John",john-buchanan/B001008,John Buchanan,1928,Republican,not current,901
"Representative Buchanan, Vern",vern-buchanan/B001260,Vern Buchanan,1951,Republican,current,"1,335"
"Representative Buck, Ken",ken-buck/B001297,Ken Buck,1959,Republican,current,524
"Senator Buckley, James L.",james-buckley/B001026,James L. Buckley,1923,Republican,not current,331
"Representative Bucshon, Larry",larry-bucshon/B001275,Larry Bucshon,1962,Republican,current,"1,029"
"Representative Budd, Ted",ted-budd/B001305,Ted Budd,1971,Republican,current,657
"Representative Buechner, Jack",jack-buechner/B001036,Jack Buechner,1940,Republican,not current,864
"Representative Buerkle, Ann Marie",ann-buerkle/B001276,Ann Marie Buerkle,1951,Republican,not current,211
"Senator Bumpers, Dale",dale-bumpers/B001057,Dale Bumpers,1925,Democratic,not current,"3,516"
"Representative Bunn, Jim",jim-bunn/B001063,Jim Bunn,1956,Republican,not current,92
