state,club,city,club link
California,Paradise Gem & Mineral Club,Paradise,http://www.paradisegem.org/
California,Pasadena Lapidary Society,Pasadena,http://www.pasadenalapidarysociety.org/
California,"Peninsula Gem & Geology Society, Inc.",Los Altos,http://pggs.org/
California,Roseville Rock Rollers,Roseville,http://www.rockrollers.com/
California,Route 66 Gold Miners Inc,Brea,http://www.route66goldminers.org/
California,Sacramento Mineral Society,Sacramento,http://www.sacramentomineralsociety.org/
California,Sacramento Valley Detecting Buffs,North Highlands,http://www.sacramentovalleydetectingbuffs.com/
California,Salinas Valley Rock and Gem Club,Salinas,https://salinasrockandgem.pagecloud.com/
California,San Diego Gem and Mineral Society,San Diego,http://www.sdmg.org/
California,San Diego Lapidary Society,San Diego,http://sandiegolapidarysociety.org/
California,"San Francisco Gem and Mineral Society, Inc.",San Francisco,http://www.sfgms.org/
California,San Joaquin Valley Lapidary Society,Bakersfield,http://sjvls.blogspot.com/
California,San Luis Obispo Gem & Mineral Club,San Luis Obispo,http://www.slogem.org/
California,"Santa Ana Rock & Mineral Club, Inc.",Santa Ana,http://www.sarmclub.org/
California,Santa Clara Valley Gem & Mineral Society,San Jose,http://www.scvgms.org/
California,Santa Cruz Mineral and Gem Society,Santa Cruz,https://www.facebook.com/scmgs/
California,Santa Lucia Rockhounds,Paso Robles,http://www.slrockhounds.org/
California,"Santa Rosa Mineral And Gem Society, Inc.",Santa Rosa,http://www.srmgs.org/
California,Searchers Gem and Mineral Society,Anaheim,https://www.searchersrocks.org/
California,"Searles Lake Gem and Mineral Society, Inc.",Trona,http://www1.iwvisp.com/tronagemclub/
California,Sequoia Gem and Mineral Society,Redwood City,http://www.sequoiagemandmineralsociety.org/
California,Shadow Mountain Gem & Mineral Society,Palm Springs,http://www.shadowmountaingemmineral.org/
California,Shasta Gem & Mineral Society,Redding,http://www.shastagemandmineral.com/
California,Sierra Pelona Rock Club,Newhall,http://www.sierrapelona.com/
California,South Bay Lapidary & Mineral Society,Torrance,https://southbaylapidaryandmineralsociety.com/
California,South Orange County Gem & Mineral Society,San Clemente,https://www.facebook.com/South-Orange-County-Gem-Mineral-Society-255366124502612/
California,Southern California Paleontological Society,Los Angeles,http://socalpaleo.com/
California,Stockton Lapidary & Mineral Club,Stockton,http://www.stocktonlapidary.com/
California,Sutter Buttes Gem & Mineral Society,Marysville,https://sutterbuttesgemmin.org/
California,Tehachapi Valley Gem & Mineral Society,Tehachapi,http://www.tvgms.org/
California,Tule Gem and Mineral Society,Farmersville,http://www.tulegem.com/
California,Vallejo Gem & Mineral Society,Vallejo,http://www.vjgems.org/
California,"Valley Prospectors, Inc.",San Bernardino,https://www.valleyprospectors.com/
California,"Ventura Gem & Mineral Society, Inc",Ventura,http://vgms.org/
California,Victor Valley Gem and Mineral Club,Victorville,http://www.vvgmc.org/
California,Vista Gem & Mineral Society,Vista,http://www.vistarocks.org/
California,West Coast Prospectors & Treasure Hunters Association,Garden Grove,http://westcoasters.org/
California,West End Prospectors Corporation,Norco,http://www.wepcgold.com/
California,"Whittier Gem and Mineral Society, Inc.",Whittier,http://wgmsca.com/index.html
California,"Woodland Hills Rock Chippers, Inc.",San Fernando Valley,http://www.rockchippers.org/
California,Yucaipa Valley Gem & Mineral Society,Yucaipa,http://www.yvgms.org/wiki/
Colorado,Canon City Geology Club,Canon City,http://www.canoncitygeologyclub.com/
Colorado,Colorado Gold Camp,Frisco,http://coloradogoldcamp.com/
Colorado,Colorado Mineral Society,Lakewood,http://www.coloradomineralsociety.org/
Colorado,Colorado Prospector,Alamosa,http://www.coloradoprospector.com/
Colorado,Colorado Springs Mineral Society,Colorado Springs,http://www.csms1936.com/
Colorado,Columbine Gem and Mineral Society,Salida,http://rockaholics.org/
Colorado,Denver Gem and Mineral Guild,Denver,http://denvergem.org/index.html
Colorado,Flatirons Mineral Club,Boulder,http://flatironsmineralclub.org/
Colorado,Fort Collins Rockhounds,Fort Collins,http://www.fortcollinsrockhounds.org/
Colorado,Four Corners Gem & Mineral Club,Durango,http://www.durangorocks.org/
Colorado,Friends of Mineralogy - Colorado Chapter,Denver,http://friendsofmineralogycolorado.org/
Colorado,Grand Junction Gem & Mineral Club,Grand Junction,http://www.grandjunctionrockclub.org/
Colorado,Lake George Gem & Mineral club,Lake George,http://www.lggmclub.org/
Colorado,"Littleton Gem and Mineral Club, Inc.",Littleton,http://littletongemandmineralclub.com/
Colorado,Mile High Rock and Mineral Society,Arvada,http://www.milehirams.com/
Colorado,North Jeffco Gem & Mineral Club,Arvada,http://www.peaktopeak.com/njeffco/index.php
Colorado,Pueblo Rockhounds,Pueblo,http://www.pueblorockhounds.org/
Colorado,Western Interior Paleontological Society,Denver,http://www.westernpaleo.org/
Connecticut,Bristol Gem & Mineral Club,Bristol,http://bristolgem.org/
Connecticut,Danbury Mineralogical Society,Danbury,http://danburymineralogicalsociety.weebly.com/
Connecticut,Lapidary and Mineral Society of Central Connecticut,Meriden,http://www.lmscc.org/
Connecticut,New Haven Mineral Club,New Haven,http://www.newhavenmineralclub.org/
Connecticut,Stamford Mineralogical Society,Stamford,http://www.stamfordmineralsociety.org/
Delaware,"Delaware Mineralogical Society, Inc.",Wilmington,http://www.delminsociety.net/
Florida,Canaveral Mineral & Gem Society,Melbourne,http://www.canaveral-mgs.com/
Florida,Central Brevard Rock and Gem Club,Merritt Island,http://www.centralbrevardgems.org/
Florida,Central Florida Mineral and Gem Society,Winter Park,http://www.cfmgs.org/
Florida,Florida Fossil Hunters,Orlando,http://floridafossilhunters.com/
Florida,Florida Gold Coast Gem & Mineral Society,Hollywood,http://fgcgms.com/main/
Florida,Fossil Club of Lee County,Ft. Myers,http://www.fcolc.com/
Florida,Gainesville Gem & Mineral Society,Gainesville,http://gainesvillegms.weebly.com/
Florida,Gem and Mineral Society of the Palm Beaches,West Palm Beach,http://www.gemandmineralsociety.org/
Florida,"Imperial Bone Valley Gem, Mineral, & Fossil Society",Lakeland,http://www.bonevalley.net/
Florida,"Jacksonville Gem and Mineral Society, Inc.",Jacksonville,http://www.jaxgemandmineral.org/
Florida,"Miami Mineralogical and Lapidary Guild, Inc.",Miami,http://www.mmlg-inc.org/
Florida,Playground Gem and Mineral Society,Ft. Walton Beach,http://playgroundgem.org/
Florida,Southwest Florida Fossil Society,Punta Gorda,http://www.southwestfloridafossilsociety.org/
Florida,St Lucie County Rock and Gem Club,Port St Lucie,http://www.slcrockandgem.org/
Florida,Suncoast Gem and Mineral Society,St Petersburg,http://sgams.com/
Florida,Tampa Bay Fossil Club,Palm Harbor,http://www.tampabayfossilclub.com/
Florida,"Tampa Bay Mineral & Science Club, Inc.",Tampa,http://www.tampabayrockclub.com/
Florida,The Villages Gem and Mineral Society,The Villages,http://www.thevillagesgemandmineralsociety.com/
Florida,Tomoka Faceters Guild,Palm Coast,http://www.tomokafacetersguild.org/index.html
Florida,Withlacoochee Rockhounds,Spring Hill,http://www.withlacoocheerockhounds.com/
Georgia,Athens Rock and Gem Club,Athens,http://www.athensrockandgemclub.org/
Georgia,Augusta Gem & Mineral Society,Augusta,http://agams.club/
